repo_index,CommitEvent,CommitCommentEvent,IssueEvent,IssueCommentEvent,PullRequestEvent,PullRequestCommentEvent
11881,0,0,0,0,0,3
44398,31,0,0,0,0,0
31999,10,0,10,20,0,0
48418,21,0,9,30,12,3
34142,3,0,2,0,0,0
3707,0,0,0,0,0,0
42995,0,0,10,20,30,10
8097,0,0,0,0,0,0
3510,0,0,0,0,0,0
24454,2,0,22,154,0,0
3863,0,0,0,0,0,0
29382,10,0,6,9,5,12
37943,88,0,0,0,21,6
16391,29,0,15,33,27,84
13750,170,50,0,510,0,0
28984,11,0,0,15,30,0
8273,0,0,0,0,0,0
14795,0,0,0,279,0,0
20535,0,0,20,40,0,0
17333,3,0,0,0,0,0
34180,0,0,0,0,0,0
30109,163,0,7,7,14,0
1902,0,0,0,0,0,0
1615,0,0,0,0,0,0
27243,4,0,6,16,2,12
4686,0,0,0,0,0,0
4387,0,0,0,0,0,0
40132,169,0,90,360,234,198
32638,0,0,32,112,96,560
47309,0,0,1,0,0,0
47027,0,0,8,40,0,0
9557,0,0,0,0,0,0
37145,677,0,0,0,0,0
40761,0,0,1,1,0,0
33139,10,0,0,0,2,1
6746,0,0,0,0,0,0
44325,253,20,0,180,0,0
42105,0,0,1,4,0,0
7331,0,0,0,0,0,0
8027,0,0,0,0,0,0
31174,0,0,0,0,0,0
17893,71,0,20,4,12,4
45071,0,0,4,7,0,0
43425,35,0,0,22,0,0
46980,145,0,0,0,460,470
5678,0,0,0,0,0,0
3795,0,0,0,0,0,0
11274,208,216,0,0,0,0
22763,0,0,0,0,0,0
12222,50,0,345,810,165,180
943,0,0,0,0,0,0
29522,6,0,8,18,2,5
25202,45,0,40,96,64,0
17022,65,0,5,5,220,65
25706,29,0,6,27,36,51
36320,0,0,1,2,1,0
15492,27,0,4,20,12,16
15793,3,0,10,41,1,8
29994,9,0,20,40,0,0
39772,0,0,0,0,0,0
29090,52,0,102,174,18,0
43891,23,0,8,46,31,0
9520,0,0,0,0,0,0
13273,5,0,3,1,1,1
6438,0,0,0,0,0,0
27417,0,0,0,0,1,0
43843,1,0,3,1,1,2
13757,96,14,308,336,140,392
3369,0,0,0,0,0,0
1638,0,0,0,0,0,0
8876,0,0,0,0,0,0
17083,16,0,18,24,36,42
11609,91,0,0,486,0,0
951,0,0,0,0,0,0
5166,0,0,0,0,0,0
16605,5,0,84,354,84,246
33922,33,2,2,6,4,10
8135,0,0,0,0,0,0
435,0,0,0,0,0,0
48707,20,0,0,0,0,0
40869,0,0,30,45,25,25
34374,201,0,32,128,0,0
44544,69,0,8,0,72,68
23841,20,0,20,30,0,0
46188,0,0,0,0,0,0
30438,51,0,63,182,112,413
37617,5,0,4,4,0,0
28819,0,0,0,0,0,0
10219,5,0,10,32,6,0
13175,21,0,27,126,0,0
4068,0,0,0,0,0,0
9179,0,0,0,0,0,0
43796,2,0,0,0,0,0
8414,0,0,0,0,0,0
19217,7,0,2,2,6,2
12966,0,0,5,5,0,0
20775,18,0,42,30,0,0
26402,0,0,0,0,0,0
46791,144,836,133,57,209,95
46807,0,0,0,0,0,0
35609,0,0,0,0,0,0
19246,202,0,200,360,0,30
20744,4,0,32,48,0,0
8075,0,0,0,0,0,0
34798,7,0,8,32,0,0
11171,23,0,8,20,20,4
33967,15,0,6,18,8,10
28421,9,0,4,6,0,0
10999,3,0,104,182,78,0
28905,179,0,130,455,0,0
8898,0,0,0,0,0,0
1854,0,0,0,0,0,0
2563,0,0,0,0,0,0
45908,0,0,0,2,0,0
473,0,0,0,0,0,0
331,0,0,0,0,0,0
2211,0,0,0,0,0,0
21283,0,0,0,0,0,0
27665,19,4,8,108,4,40
42898,13,0,0,0,0,0
15487,61,0,35,154,0,35
31586,25,0,14,96,4,2
19257,0,0,190,160,210,80
13975,194,0,288,1710,288,360
41494,34,0,30,160,0,0
3743,0,0,0,0,0,0
1842,0,0,0,0,0,0
