repo_index,CommitEvent,CommitCommentEvent,IssueEvent,IssueCommentEvent,PullRequestEvent,PullRequestCommentEvent
1,1400,0,0,0,0,0
2,3910,0,0,3044,0,0
4,3286,3204,0,7476,0,1780
5,621,0,0,567,0,0
7,865,3680,0,0,0,0
8,21,0,0,17,0,0
9,9147,0,0,6656,0,0
10,1338,0,0,0,0,0
11,4530,0,0,436,0,0
12,725,5005,0,7755,0,220
13,2173,0,0,0,0,0
18,490,960,0,640,0,0
20,6691,0,0,827,0,0
21,29,2,34,42,12,2
23,264,0,0,0,0,0
24,1171,0,0,3968,0,124
25,1152,0,0,199,0,0
26,600,230,0,92,0,276
27,2841,0,0,0,0,0
28,1680,0,0,0,0,0
29,2280,0,0,0,0,0
31,0,0,0,72,0,0
32,507,260,0,546,0,104
33,1401,0,0,5778,0,0
34,14,0,0,77,0,0
37,631,134,0,670,0,0
38,756,305,0,1342,0,549
39,115,0,0,0,0,0
40,36,3,0,21,0,3
41,937,749,0,321,0,0
42,1744,3036,0,3864,0,828
44,90,0,0,128,0,0
45,822,1218,2900,25810,2900,14819
46,2364,6670,0,290,0,145
47,1294,294,4200,18186,4200,6342
48,210,420,0,462,0,0
49,235,246,0,0,0,0
51,1534,64,6400,27968,6400,1728
52,4151,0,0,0,0,0
53,588,513,0,54,0,0
54,714,0,0,376,0,188
57,5376,0,0,3381,0,0
59,99,34,0,714,0,34
60,383,14,700,2709,700,1526
62,213,60,0,420,0,20
64,2,0,0,100,0,4
65,3571,0,0,0,0,0
66,0,2,6,14,0,0
70,813,1090,0,109,0,0
71,935,0,0,0,47,0
73,7,0,0,0,0,0
74,683,210,0,4060,0,70
76,376,189,2700,8181,2700,1539
77,69,0,56,161,196,175
80,101,54,0,360,0,0
82,1058,0,3700,9694,1702,962
83,3062,2596,0,708,0,1652
86,1095,288,0,4368,3024,5088
88,1960,200,0,300,0,0
89,158,18,0,612,0,18
90,175,126,0,126,144,198
91,3192,1911,0,819,0,0
92,10099,0,0,0,0,0
94,12,0,0,48,0,0
97,384,309,0,618,0,206
99,390,0,1485,5346,1701,2862
101,157,28,0,168,0,0
102,457,140,0,3290,0,70
103,511,0,0,222,0,0
104,907,0,11700,15093,10881,7371
105,1616,0,0,650,0,325
106,86,0,0,0,0,0
107,715,224,0,3328,128,448
108,3021,4267,0,14809,0,0
110,631,648,0,72,0,0
111,2751,489,0,0,0,0
112,0,1728,0,0,1647,2052
113,673,112,0,308,0,140
115,420,0,0,210,0,42
116,1418,88,0,704,4048,5456
117,1526,610,6100,53131,6100,32208
118,3609,0,0,0,0,0
119,572,2130,0,4260,0,284
120,181,0,0,0,0,0
121,3222,0,0,0,0,0
122,44,90,0,3195,2565,3915
124,1526,610,6100,53131,6100,32208
125,226,0,0,0,0,0
126,49,0,0,88,88,348
127,202,124,0,0,0,0
128,0,28,0,336,0,0
131,190,174,0,0,0,0
133,2358,136,0,0,0,0
134,1815,5341,0,1199,7630,39131
135,609,0,0,0,0,0
136,1419,0,0,29,0,0
137,246,36,0,144,288,240
138,19,4,0,20,0,0
140,0,1320,0,6864,0,0
141,1037,490,0,0,0,0
142,2403,1552,0,0,0,0
143,1015,728,0,448,0,168
144,381,0,0,0,0,0
145,366,21,700,2905,700,588
146,889,374,1232,7524,1474,2552
147,477,0,0,273,0,0
148,0,0,0,105,0,10
149,772,0,0,144,0,0
152,60,0,0,150,0,0
153,0,0,40,44,28,4
156,753,166,0,0,0,0
157,291,0,0,120,576,288
158,3,0,9,9,0,0
161,293,320,0,192,0,64
162,618,28,0,1568,0,56
163,95,0,0,345,0,0
164,34,5,0,20,0,20
165,2425,1045,20900,30932,20900,9823
166,99,31,0,93,0,0
167,972,282,0,1128,940,3196
169,1760,7733,0,8987,0,0
170,3539,25872,0,0,0,0
171,432,5,500,830,500,970
172,1297,0,0,1024,0,0
173,269,35,0,420,0,70
174,137,0,0,0,0,0
175,744,390,0,1482,0,390
176,13,0,0,12,0,20
177,1396,2184,0,1716,0,0
178,626,672,0,1824,0,0
179,1321,1170,0,2015,0,0
182,53,0,204,700,16,40
187,4292,261,8700,8004,8700,8700
189,586,460,0,0,0,0
191,3145,872,0,0,0,0
193,0,0,0,9,18,15
194,995,0,0,0,0,238
195,717,204,0,442,0,0
196,24,19,0,114,0,0
198,4853,0,0,2084,0,0
199,76,0,0,450,150,510
202,194,0,2332,5984,0,0
203,934,0,0,0,0,0
204,74,44,0,0,0,0
205,819,0,0,0,0,0
206,705,0,0,0,0,0
207,1191,4000,4000,13400,4000,4560
209,9526,5184,0,324,0,324
210,9526,5184,0,324,0,324
211,703,1944,0,504,0,0
214,10,0,50,54,8,4
215,515,0,0,1736,0,0
217,158,0,0,135,0,0
218,1215,0,0,2035,0,0
219,443,585,3900,13884,3900,1326
220,1637,0,1881,3401,1786,1083
221,247,78,0,156,0,26
223,164,30,0,150,0,0
224,228,0,0,180,0,0
225,2249,13200,13200,9636,3828,4620
226,87,0,0,0,0,0
227,0,558,0,4836,0,0
228,337,0,0,0,0,0
229,268,0,0,160,0,0
230,280,0,0,273,0,0
231,0,0,76,1026,190,228
234,45,0,245,545,40,30
235,35415,0,0,0,0,0
237,87,20,0,260,0,0
238,1123,360,0,3384,0,0
239,48,0,7,98,70,56
241,505,37,0,222,0,0
242,1930,0,0,0,0,0
243,488,36,0,108,0,0
244,1020,1084,27100,26287,27100,9485
245,203,0,0,0,0,0
246,1204,0,0,150,0,0
248,572,280,0,480,0,40
249,36,8,32,80,68,152
251,656,0,0,0,0,0
253,156,1000,970,2760,760,1550
254,451,18,1800,7308,234,540
255,351,0,0,30,0,0
257,361,52,0,234,0,0
258,546,0,1743,4830,1764,945
259,66,99,0,36,0,0
260,1,0,0,12,0,0
261,51,0,44,112,24,8
263,207,0,0,46,0,0
264,75,44,0,0,0,176
265,452,204,408,3791,816,1411
266,1060,512,0,384,0,0
267,223,0,0,324,2052,1890
268,1095,0,0,0,0,0
271,51,15,0,300,1155,1005
273,33,0,0,0,0,0
274,679,0,0,0,0,0
275,360,158,0,0,0,0
276,2327,5208,0,4960,0,0
277,64,90,0,54,0,0
278,540,728,0,0,0,0
279,31,0,0,68,0,0
282,15,0,0,0,5,0
283,2540,0,0,172,0,0
286,461,160,0,80,1240,2120
287,163,0,0,150,0,0
288,24,0,0,0,0,0
289,12305,0,0,0,0,0
290,12,0,0,0,90,105
292,367,14,0,392,0,42
293,3629,3960,0,528,0,0
294,12,0,0,7,0,7
297,4314,7912,0,14104,0,0
298,15,0,0,19,0,0
300,632,93,0,0,0,0
303,1595,940,0,188,0,0
305,1126,264,0,1122,0,0
306,0,0,272,476,170,204
309,41,1,100,522,52,69
310,41,14,0,28,0,0
311,170,15,0,30,0,30
312,28,0,99,165,77,11
313,175,882,0,147,0,0
315,32,0,0,104,0,0
317,171,249,0,249,0,0
