new_repo_index,label
7022,1
7023,0
7024,1
7025,1
7026,1
7027,1
7028,1
7029,1
7030,1
7031,1
7032,0
7033,1
7034,1
7035,0
7036,1
7037,1
7038,1
7039,0
7040,1
7041,0
7042,0
7043,1
7044,0
7045,1
7046,0
7047,0
7048,0
7049,1
7050,0
7051,0
7052,1
7053,1
7054,1
7055,1
7056,1
7057,1
7058,1
7059,1
7060,0
7061,1
7062,1
7063,0
7064,0
7065,1
7066,1
7067,1
7068,1
7069,1
7070,1
7071,0
7072,1
7073,0
7074,0
7075,0
7076,1
7077,1
7078,1
7079,0
7080,0
7081,1
7082,0
7083,0
7084,1
7085,1
7086,0
7087,1
7088,1
7089,0
7090,1
7091,0
7092,0
7093,0
7094,1
7095,0
7096,1
7097,0
7098,0
7099,1
7100,0
7101,0
7102,0
7103,1
7104,0
7105,1
7106,1
7107,0
7108,0
7109,1
7110,0
7111,0
7112,1
7113,1
7114,1
7115,0
7116,1
7117,1
7118,0
7119,1
7120,1
7121,0
7122,0
7123,1
7124,0
7125,0
7126,1
7127,1
7128,1
7129,0
7130,1
7131,1
7132,1
7133,1
7134,0
7135,1
7136,1
7137,1
7138,0
7139,0
7140,0
7141,1
7142,0
7143,1
7144,0
7145,1
7146,0
7147,1
7148,0
7149,0
7150,1
7151,0
7152,1
7153,0
7154,1
7155,1
7156,0
7157,0
7158,0
7159,0
7160,0
7161,0
7162,0
7163,1
7164,0
7165,0
7166,1
7167,1
7168,0
7169,0
7170,0
7171,1
7172,0
7173,1
7174,0
7175,0
7176,1
7177,1
7178,1
7179,0
7180,0
7181,0
7182,0
7183,0
7184,1
7185,1
7186,1
7187,1
7188,1
7189,1
7190,1
7191,0
7192,1
7193,0
7194,0
7195,1
7196,0
7197,1
7198,1
7199,1
7200,0
7201,0
7202,0
7203,1
7204,1
7205,0
7206,1
7207,0
7208,1
7209,1
7210,0
7211,0
7212,1
7213,1
7214,1
7215,0
7216,1
7217,0
7218,1
7219,1
7220,0
7221,0
7222,0
7223,1
7224,1
7225,0
7226,1
7227,0
7228,0
7229,0
7230,1
7231,1
7232,0
7233,0
7234,0
7235,1
7236,1
7237,1
7238,0
7239,1
7240,0
7241,1
7242,0
7243,1
7244,1
7245,0
7246,0
7247,0
7248,0
7249,1
7250,0
7251,0
7252,0
7253,1
7254,1
7255,0
7256,0
7257,1
7258,0
7259,1
7260,1
7261,1
7262,0
7263,0
7264,0
7265,0
7266,1
7267,1
7268,1
7269,1
7270,1
7271,0
7272,0
7273,1
7274,0
7275,0
7276,1
